scenario,theta_degrees,delta_g,detector_amplitude,delta_detector,rate_ratio
"detector 3%, propagation 3%",0.0,0.03000,0.03000,0.03000,0.79000
"detector 3%, propagation 3%",1.0,0.03000,0.03000,0.02999,0.79005
"detector 3%, propagation 3%",2.0,0.03000,0.03000,0.02995,0.79019
"detector 3%, propagation 3%",3.0,0.03000,0.03000,0.02988,0.79043
"detector 3%, propagation 3%",4.0,0.03000,0.03000,0.02978,0.79077
"detector 3%, propagation 3%",5.0,0.03000,0.03000,0.02966,0.79120
"detector 3%, propagation 3%",6.0,0.03000,0.03000,0.02951,0.79172
"detector 3%, propagation 3%",7.0,0.03000,0.03000,0.02933,0.79234
"detector 3%, propagation 3%",8.0,0.03000,0.03000,0.02913,0.79305
"detector 3%, propagation 3%",9.0,0.03000,0.03000,0.02890,0.79385
"detector 3%, propagation 3%",10.0,0.03000,0.03000,0.02864,0.79475
"detector 3%, propagation 3%",11.0,0.03000,0.03000,0.02836,0.79573
"detector 3%, propagation 3%",12.0,0.03000,0.03000,0.02805,0.79681
"detector 3%, propagation 3%",13.0,0.03000,0.03000,0.02772,0.79797
"detector 3%, propagation 3%",14.0,0.03000,0.03000,0.02737,0.79922
"detector 3%, propagation 3%",15.0,0.03000,0.03000,0.02699,0.80055
"detector 3%, propagation 3%",16.0,0.03000,0.03000,0.02658,0.80197
"detector 3%, propagation 3%",17.0,0.03000,0.03000,0.02615,0.80346
"detector 3%, propagation 3%",18.0,0.03000,0.03000,0.02570,0.80504
"detector 3%, propagation 3%",19.0,0.03000,0.03000,0.02523,0.80669
"detector 3%, propagation 3%",20.0,0.03000,0.03000,0.02474,0.80842
"detector 3%, propagation 3%",21.0,0.03000,0.03000,0.02422,0.81023
"detector 3%, propagation 3%",22.0,0.03000,0.03000,0.02369,0.81210
"detector 3%, propagation 3%",23.0,0.03000,0.03000,0.02313,0.81405
"detector 3%, propagation 3%",24.0,0.03000,0.03000,0.02256,0.81606
"detector 3%, propagation 3%",25.0,0.03000,0.03000,0.02196,0.81813
"detector 3%, propagation 3%",26.0,0.03000,0.03000,0.02135,0.82027
"detector 3%, propagation 3%",27.0,0.03000,0.03000,0.02073,0.82246
"detector 3%, propagation 3%",28.0,0.03000,0.03000,0.02008,0.82471
"detector 3%, propagation 3%",29.0,0.03000,0.03000,0.01942,0.82702
"detector 3%, propagation 3%",30.0,0.03000,0.03000,0.01875,0.82937
"detector 3%, propagation 3%",31.0,0.03000,0.03000,0.01806,0.83178
"detector 3%, propagation 3%",32.0,0.03000,0.03000,0.01736,0.83423
"detector 3%, propagation 3%",33.0,0.03000,0.03000,0.01665,0.83672
"detector 3%, propagation 3%",34.0,0.03000,0.03000,0.01593,0.83925
"detector 3%, propagation 3%",35.0,0.03000,0.03000,0.01520,0.84182
"detector 3%, propagation 3%",36.0,0.03000,0.03000,0.01445,0.84441
"detector 3%, propagation 3%",37.0,0.03000,0.03000,0.01370,0.84704
"detector 3%, propagation 3%",38.0,0.03000,0.03000,0.01294,0.84970
"detector 3%, propagation 3%",39.0,0.03000,0.03000,0.01218,0.85238
"detector 3%, propagation 3%",40.0,0.03000,0.03000,0.01141,0.85508
"detector 3%, propagation 3%",41.0,0.03000,0.03000,0.01063,0.85779
"detector 3%, propagation 3%",42.0,0.03000,0.03000,0.00985,0.86052
"detector 3%, propagation 3%",43.0,0.03000,0.03000,0.00907,0.86326
"detector 3%, propagation 3%",44.0,0.03000,0.03000,0.00829,0.86600
"detector 3%, propagation 3%",45.0,0.03000,0.03000,0.00750,0.86875
"detector 3%, propagation 3%",46.0,0.03000,0.03000,0.00671,0.87150
"detector 3%, propagation 3%",47.0,0.03000,0.03000,0.00593,0.87424
"detector 3%, propagation 3%",48.0,0.03000,0.03000,0.00515,0.87698
"detector 3%, propagation 3%",49.0,0.03000,0.03000,0.00437,0.87971
"detector 3%, propagation 3%",50.0,0.03000,0.03000,0.00359,0.88242
"detector 3%, propagation 3%",51.0,0.03000,0.03000,0.00282,0.88512
"detector 3%, propagation 3%",52.0,0.03000,0.03000,0.00206,0.88780
"detector 3%, propagation 3%",53.0,0.03000,0.03000,0.00130,0.89046
"detector 3%, propagation 3%",54.0,0.03000,0.03000,0.00055,0.89309
"detector 3%, propagation 3%",55.0,0.03000,0.03000,-0.00020,0.89568
"detector 3%, propagation 3%",56.0,0.03000,0.03000,-0.00093,0.89825
"detector 3%, propagation 3%",57.0,0.03000,0.03000,-0.00165,0.90078
"detector 3%, propagation 3%",58.0,0.03000,0.03000,-0.00236,0.90327
"detector 3%, propagation 3%",59.0,0.03000,0.03000,-0.00306,0.90572
"detector 3%, propagation 3%",60.0,0.03000,0.03000,-0.00375,0.90812
"detector 3%, propagation 3%",61.0,0.03000,0.03000,-0.00442,0.91048
"detector 3%, propagation 3%",62.0,0.03000,0.03000,-0.00508,0.91279
"detector 3%, propagation 3%",63.0,0.03000,0.03000,-0.00573,0.91504
"detector 3%, propagation 3%",64.0,0.03000,0.03000,-0.00635,0.91723
"detector 3%, propagation 3%",65.0,0.03000,0.03000,-0.00696,0.91937
